id,name,data_version,day_ago_created ,price,list_price,original_price,discount,discount_rate,rating_average,review_count,favourite_count,all_time_quantity_sold,inventory_status,inventory_type,has_ebook ,url_path,authors,seller_name;spid;price,breadcrumbs,number_of_page
53434797,Sách Tài Chính Cá Nhân Cho Người Việt Nam - Tặng Khóa học Online về Tài chính,3300,1149,184000,200000,200000,16000,8,4.7,1754,0,13094,available,instock,False,sach-tai-chinh-ca-nhan-cho-nguoi-viet-nam-tang-khoa-hoc-online-ve-tai-chinh-p53434797.html?spid=53434798,Lâm Minh Chánh,BizUni;53434798;184000 | HappyLive;59587392;200000,"Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách tài chính, tiền tệ | Sách Tài Chính Cá Nhân Cho Người Việt Nam - Tặng Khóa học Online về Tài chính",
75953557,Tâm Lý Học Về Tiền,3300,890,110000,189000,189000,79000,42,4.8,3366,0,22863,available,instock,False,tam-ly-hoc-ve-tien-p75953557.html?spid=75953558,Morgan Housel,Tiki Trading;75953558;110000 | 1980 BOOKS HCM;83808307;122850 | AHABOOKS;90165254;162500 | Minhhabooks;92493314;151000 | MHbooks;92555968;160000 | 1980Books Official;99443517;122850 | NewShop Official;138450375;141750 | Tiệm sách Minh Hằng;192375554;150000 | Nhà Sách Vĩnh Thụy;197686656;166000 | Bamboo Books;201087808;160650 | info book;207935870;166000 | Trao Tri thức Gặt Niềm tin;211926550;167400 | Nhà sách PLV;212211803;250000 | Nhà sách Miền Đông;217423767;189000 | nha sach nguyet linh;218750238;189000 | ATP Book;242719911;189000 | HỆ THỐNG NHÀ SÁCH ABC;260928964;166000,"Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách tài chính, tiền tệ | Tâm Lý Học Về Tiền",384
126853168,Thấu hiểu Hành vi giá Thị trường Tài chính (Understanding Price Action),3300,628,367000,367000,367000,0,0,5.0,248,0,1460,available,instock,False,thau-hieu-hanh-vi-gia-thi-truong-tai-chinh-understanding-price-action-p126853168.html?spid=126853169,,finfin;126853169;367000 | SG Trading;142827069;367000,"Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách tài chính, tiền tệ | Thấu hiểu Hành vi giá Thị trường Tài chính (Understanding Price Action)",448
146223395,Cách thức kinh doanh và đầu cơ cổ phiếu! – How to Trade in Stocks,3300,562,349000,349000,349000,0,0,4.8,762,0,3824,available,instock,False,cach-thuc-kinh-doanh-va-dau-co-co-phieu-how-to-trade-in-stocks-p146223395.html?spid=146223403,Richard Smitten,HappyLive;146223403;349000,"Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách tài chính, tiền tệ | Cách thức kinh doanh và đầu cơ cổ phiếu! – How to Trade in Stocks",320
53532186,Tuyệt kỹ Giao dịch bằng đồ thị nến Nhật – Japanese Candlestick Charting Techniques,3300,1147,499000,499000,499000,0,0,4.8,2263,0,12666,available,instock,False,tuyet-ky-giao-dich-bang-do-thi-nen-nhat-japanese-candlestick-charting-techniques-p53532186.html?spid=53532187,Steve Nison,HappyLive;53532187;499000,"Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách tài chính, tiền tệ | Tuyệt kỹ Giao dịch bằng đồ thị nến Nhật – Japanese Candlestick Charting Techniques",392
168283405,Chiến Tranh Tiền Tệ - Phần 1 - Ai Thực Sự Là Người Giàu Nhất Thế Giới ( Tái Bản 2022),3300,469,109000,165000,165000,56000,34,5.0,647,0,5092,available,instock,False,chien-tranh-tien-te-phan-1-ai-thuc-su-la-nguoi-giau-nhat-the-gioi-tai-ban-2022-p168283405.html?spid=168283407,Song Hong Bing,Tiki Trading;168283407;109000 | Minhhabooks;172247991;131000 | MHbooks;172851716;141000 | Times Books;188545295;110250 | Nhà Sách Trẻ Online;188545304;109950 | Nhà Sách Đinh Lễ;188447666;165000 | Tiệm sách Minh Hằng;190192468;131000 | Ánh Dương Bookstore;192580970;115500 | NhatPham0356;192951969;129000 | Tiệm Sách Hoa Hồng;193208130;110550 | VBooks;193213766;110550 | Bamboo Books;197520373;115500 | nha sach nguyet linh;207382399;165000 | Alpha Books Official;213585332;132000 | Omega Plus Books;213585448;132000 | Sống Official;225932913;132000,"Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách tài chính, tiền tệ | Chiến Tranh Tiền Tệ - Phần 1 - Ai Thực Sự Là Người Giàu Nhất Thế Giới ( Tái Bản 2022)",532
168293266,Chiến Tranh Tiền Tệ - Phần 2 - Sự Thống Trị Của Quyền Lực Tài Chính ( Tái Bản 2022),3300,469,112000,170000,170000,58000,34,5.0,344,0,2508,available,instock,False,chien-tranh-tien-te-phan-2-su-thong-tri-cua-quyen-luc-tai-chinh-tai-ban-2022-p168293266.html?spid=168293267,Song Hong Bing,Tiki Trading;168293267;112000 | Minhhabooks;172270545;126000 | MHbooks;172851781;144000 | Times Books;188545309;113600 | Nhà Sách Trẻ Online;188545306;113300 | Tiệm sách Minh Hằng;190194077;126000 | Nhà sách Thanh Hà;191258876;122200 | Tiệm Sách Hoa Hồng;193208238;113900 | VBooks;193213809;113900 | Bamboo Books;197526186;144500 | nha sach nguyet linh;207382479;161500 | Nhà Sách Đinh Lễ;208299530;161500 | Alpha Books Official;213974694;136000 | Omega Plus Books;213975530;136000,"Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách tài chính, tiền tệ | Chiến Tranh Tiền Tệ - Phần 2 - Sự Thống Trị Của Quyền Lực Tài Chính ( Tái Bản 2022)",632
11122712,Bộ sách Làm Giàu Từ Chứng Khoán (How To Make Money In Stock) phiên bản mới + Hướng Dẫn Thực Hành CANSLIM Cho Người Mới Bắt Đầu,3300,1574,700000,700000,700000,0,0,4.8,2390,0,15284,available,instock,False,bo-sach-lam-giau-tu-chung-khoan-how-to-make-money-in-stock-phien-ban-moi-huong-dan-thuc-hanh-canslim-cho-nguoi-moi-bat-dau-p11122712.html?spid=11122714,William J. O’Neil | Matthew Galgani,HappyLive;11122714;700000 | PLM Trading;35394743;700000 | SG Trading;74848083;700000 | Chiemtinhtaichinh;74847164;700000,"Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách tài chính, tiền tệ | Bộ sách Làm Giàu Từ Chứng Khoán (How To Make Money In Stock) phiên bản mới + Hướng Dẫn Thực Hành CANSLIM Cho Người Mới Bắt Đầu",1044
213728190,LÀM GIÀU TỪ SIÊU CỔ PHIẾU – Câu Chuyện Của Gã Du Mục Phố Wall – JESSE C. STINE,3300,174,399000,399000,399000,0,0,5.0,45,0,325,available,instock,False,lam-giau-tu-sieu-co-phieu-cau-chuyen-cua-ga-du-muc-pho-wall-jesse-c-stine-insider-buy-superstocks-p213728190.html?spid=213728191,,PLM Trading;213728191;399000 | Chiemtinhtaichinh;214756536;399000,"Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách tài chính, tiền tệ | LÀM GIÀU TỪ SIÊU CỔ PHIẾU – Câu Chuyện Của Gã Du Mục Phố Wall – JESSE C. STINE",398
193151000,"Trend Following – Cách thức để kiếm được VẬN MAY LỚN và GIÀU CÓ trong các thị trường BÒ, GẤU và các sự kiện THIÊN NGA ĐEN",3300,322,599000,599000,599000,0,0,4.7,108,0,784,available,instock,False,trend-following-huong-dan-lam-giau-tu-chung-khoan-trong-cac-thi-truong-bo-gau-va-cac-su-kien-thien-nga-den-p193151000.html?spid=193151014,,HappyLive;193151014;599000,"Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách tài chính, tiền tệ | Trend Following – Cách thức để kiếm được VẬN MAY LỚN và GIÀU CÓ trong các thị trường BÒ, GẤU và các sự kiện THIÊN NGA ĐEN",836
